




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Client Text Box Input (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2541)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
response to starvation (GO:0042594)	199	47	24.55	+	1.91	1.88E-04	1.06E-02
positive regulation of multicellular organismal process (GO:0051240)	1412	227	174.21	+	1.30	1.88E-04	1.06E-02
positive regulation of cellular component movement (GO:0051272)	560	104	69.09	+	1.51	1.92E-04	1.08E-02
establishment of organelle localization (GO:0051656)	348	71	42.94	+	1.65	1.97E-04	1.10E-02
positive regulation of locomotion (GO:0040017)	562	104	69.34	+	1.50	2.00E-04	1.11E-02
positive regulation of cell motility (GO:2000147)	547	102	67.49	+	1.51	2.08E-04	1.15E-02
nucleosome organization (GO:0034728)	140	36	17.27	+	2.08	2.28E-04	1.26E-02
response to stress (GO:0006950)	3336	486	411.59	+	1.18	2.31E-04	1.26E-02
negative regulation of catalytic activity (GO:0043086)	777	136	95.87	+	1.42	2.31E-04	1.27E-02
head development (GO:0060322)	806	140	99.44	+	1.41	2.40E-04	1.31E-02
positive regulation of cell differentiation (GO:0045597)	833	144	102.78	+	1.40	2.43E-04	1.32E-02
negative regulation of cellular catabolic process (GO:0031330)	257	56	31.71	+	1.77	2.42E-04	1.32E-02
system process (GO:0003008)	2040	195	251.69	-	.77	2.44E-04	1.32E-02
actin cytoskeleton organization (GO:0030036)	539	100	66.50	+	1.50	2.47E-04	1.33E-02
regulation of proteolysis (GO:0030162)	738	130	91.05	+	1.43	2.50E-04	1.34E-02
covalent chromatin modification (GO:0016569)	362	73	44.66	+	1.63	2.51E-04	1.34E-02
cellular response to hormone stimulus (GO:0032870)	484	92	59.72	+	1.54	2.51E-04	1.34E-02
organic cyclic compound biosynthetic process (GO:1901362)	948	160	116.96	+	1.37	2.63E-04	1.40E-02
chordate embryonic development (GO:0043009)	613	111	75.63	+	1.47	2.78E-04	1.47E-02
chromatin assembly or disassembly (GO:0006333)	154	38	19.00	+	2.00	2.86E-04	1.51E-02
mRNA destabilization (GO:0061157)	69	22	8.51	+	2.58	2.98E-04	1.57E-02
regulation of platelet activation (GO:0010543)	41	16	5.06	+	3.16	3.03E-04	1.58E-02
neuron development (GO:0048666)	810	140	99.94	+	1.40	3.03E-04	1.59E-02
DNA metabolic process (GO:0006259)	714	126	88.09	+	1.43	3.08E-04	1.60E-02
positive regulation of organelle organization (GO:0010638)	583	106	71.93	+	1.47	3.22E-04	1.67E-02
lymphocyte differentiation (GO:0030098)	255	55	31.46	+	1.75	3.29E-04	1.70E-02
response to nitrogen compound (GO:1901698)	1071	177	132.14	+	1.34	3.30E-04	1.70E-02
positive regulation of apoptotic process (GO:0043065)	509	95	62.80	+	1.51	3.49E-04	1.79E-02
mitotic cell cycle process (GO:1903047)	509	95	62.80	+	1.51	3.49E-04	1.79E-02
regulation of GTPase activity (GO:0043087)	348	70	42.94	+	1.63	3.52E-04	1.80E-02
actin filament-based process (GO:0030029)	599	108	73.90	+	1.46	3.81E-04	1.94E-02
DNA repair (GO:0006281)	478	90	58.98	+	1.53	3.87E-04	1.96E-02
peptidyl-serine phosphorylation (GO:0018105)	185	43	22.83	+	1.88	3.89E-04	1.97E-02
small molecule metabolic process (GO:0044281)	1547	243	190.87	+	1.27	3.91E-04	1.97E-02
negative regulation of molecular function (GO:0044092)	1132	185	139.67	+	1.32	3.92E-04	1.97E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	408	79	50.34	+	1.57	4.11E-04	2.06E-02
embryo development ending in birth or egg hatching (GO:0009792)	633	113	78.10	+	1.45	4.26E-04	2.11E-02
leukocyte activation (GO:0045321)	505	94	62.31	+	1.51	4.26E-04	2.12E-02
regulation of lymphocyte differentiation (GO:0045619)	175	41	21.59	+	1.90	4.26E-04	2.12E-02
protein catabolic process (GO:0030163)	682	120	84.14	+	1.43	4.39E-04	2.17E-02
ncRNA metabolic process (GO:0034660)	469	88	57.86	+	1.52	4.48E-04	2.20E-02
viral process (GO:0016032)	253	54	31.22	+	1.73	4.47E-04	2.20E-02
microtubule-based process (GO:0007017)	765	132	94.39	+	1.40	4.74E-04	2.32E-02
RNA catabolic process (GO:0006401)	158	38	19.49	+	1.95	4.95E-04	2.42E-02
complement activation, classical pathway (GO:0006958)	124	3	15.30	-	.20	5.21E-04	2.54E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	406	78	50.09	+	1.56	5.26E-04	2.55E-02
T cell differentiation (GO:0030217)	148	36	18.26	+	1.97	5.28E-04	2.55E-02
positive regulation of programmed cell death (GO:0043068)	524	96	64.65	+	1.48	5.34E-04	2.58E-02
defense response to bacterium (GO:0042742)	350	21	43.18	-	.49	5.52E-04	2.65E-02
regulation of cysteine-type endopeptidase activity (GO:2000116)	237	51	29.24	+	1.74	5.84E-04	2.79E-02
regulation of cytokine production (GO:0001817)	715	124	88.22	+	1.41	5.83E-04	2.79E-02
rhythmic process (GO:0048511)	267	56	32.94	+	1.70	6.01E-04	2.86E-02
cell surface receptor signaling pathway (GO:0007166)	2030	307	250.46	+	1.23	6.21E-04	2.95E-02
DNA conformation change (GO:0071103)	269	56	33.19	+	1.69	6.37E-04	3.01E-02
cellular response to calcium ion (GO:0071277)	87	25	10.73	+	2.33	6.42E-04	3.03E-02
response to cytokine (GO:0034097)	807	137	99.57	+	1.38	6.52E-04	3.06E-02
cellular protein-containing complex assembly (GO:0034622)	780	133	96.24	+	1.38	6.52E-04	3.07E-02
negative regulation of cell migration (GO:0030336)	270	56	33.31	+	1.68	6.59E-04	3.08E-02
positive regulation of cell adhesion (GO:0045785)	442	83	54.53	+	1.52	6.68E-04	3.11E-02
regulation of vascular associated smooth muscle cell migration (GO:1904752)	27	12	3.33	+	3.60	6.84E-04	3.17E-02
response to organonitrogen compound (GO:0010243)	984	162	121.41	+	1.33	6.82E-04	3.17E-02
nuclear transport (GO:0051169)	216	47	26.65	+	1.76	7.05E-04	3.25E-02
nucleocytoplasmic transport (GO:0006913)	216	47	26.65	+	1.76	7.05E-04	3.26E-02
RNA destabilization (GO:0050779)	73	22	9.01	+	2.44	7.17E-04	3.29E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	89	25	10.98	+	2.28	7.32E-04	3.34E-02
histone modification (GO:0016570)	357	70	44.05	+	1.59	7.31E-04	3.35E-02
response to abiotic stimulus (GO:0009628)	1125	182	138.80	+	1.31	7.36E-04	3.35E-02
import into nucleus (GO:0051170)	106	28	13.08	+	2.14	7.40E-04	3.36E-02
cellular response to starvation (GO:0009267)	157	37	19.37	+	1.91	7.47E-04	3.38E-02
response to oxygen-containing compound (GO:1901700)	1567	243	193.34	+	1.26	7.50E-04	3.39E-02
response to endogenous stimulus (GO:0009719)	1342	212	165.58	+	1.28	7.66E-04	3.45E-02
embryonic organ development (GO:0048568)	433	81	53.42	+	1.52	7.80E-04	3.50E-02
mRNA processing (GO:0006397)	437	82	53.92	+	1.52	8.02E-04	3.59E-02
multicellular organismal process (GO:0032501)	6584	897	812.33	+	1.10	8.08E-04	3.61E-02
regulation of growth (GO:0040008)	659	115	81.31	+	1.41	8.30E-04	3.70E-02
positive regulation of intracellular signal transduction (GO:1902533)	960	158	118.44	+	1.33	8.39E-04	3.73E-02
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	211	46	26.03	+	1.77	8.49E-04	3.76E-02
regulation of cellular localization (GO:0060341)	820	138	101.17	+	1.36	8.63E-04	3.81E-02
positive regulation of cell projection organization (GO:0031346)	350	68	43.18	+	1.57	8.81E-04	3.87E-02
negative regulation of cell motility (GO:2000146)	285	58	35.16	+	1.65	8.79E-04	3.87E-02
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	37	14	4.57	+	3.07	9.06E-04	3.94E-02
positive regulation of RNA splicing (GO:0033120)	37	14	4.57	+	3.07	9.06E-04	3.95E-02
protein-containing complex disassembly (GO:0032984)	119	30	14.68	+	2.04	9.05E-04	3.96E-02
positive regulation of kinase activity (GO:0033674)	469	86	57.86	+	1.49	9.48E-04	4.12E-02
response to calcium ion (GO:0051592)	153	36	18.88	+	1.91	9.52E-04	4.12E-02
methylation (GO:0032259)	306	61	37.75	+	1.62	9.74E-04	4.17E-02
T cell selection (GO:0045058)	42	15	5.18	+	2.89	9.73E-04	4.18E-02
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	15	5.18	+	2.89	9.73E-04	4.19E-02
tRNA aminoacylation for protein translation (GO:0006418)	42	15	5.18	+	2.89	9.73E-04	4.20E-02
regulation of protein phosphorylation (GO:0001932)	1086	175	133.99	+	1.31	9.96E-04	4.24E-02
regulation of DNA metabolic process (GO:0051052)	358	69	44.17	+	1.56	9.94E-04	4.24E-02
negative regulation of cellular component movement (GO:0051271)	293	59	36.15	+	1.63	1.02E-03	4.34E-02
organonitrogen compound catabolic process (GO:1901565)	1029	167	126.96	+	1.32	1.03E-03	4.38E-02
protein localization to organelle (GO:0033365)	640	111	78.96	+	1.41	1.08E-03	4.56E-02
organic acid metabolic process (GO:0006082)	854	142	105.37	+	1.35	1.08E-03	4.56E-02
mRNA catabolic process (GO:0006402)	125	31	15.42	+	2.01	1.12E-03	4.69E-02
oxoacid metabolic process (GO:0043436)	832	139	102.65	+	1.35	1.12E-03	4.70E-02
organophosphate metabolic process (GO:0019637)	833	139	102.78	+	1.35	1.13E-03	4.72E-02
peptidyl-serine modification (GO:0018209)	209	45	25.79	+	1.75	1.16E-03	4.84E-02
cellular response to nitrogen compound (GO:1901699)	626	109	77.24	+	1.41	1.17E-03	4.85E-02
carboxylic acid metabolic process (GO:0019752)	808	135	99.69	+	1.35	1.17E-03	4.85E-02
gene silencing (GO:0016458)	148	35	18.26	+	1.92	1.17E-03	4.85E-02
regulation of hemopoiesis (GO:1903706)	353	68	43.55	+	1.56	1.19E-03	4.92E-02
macromolecule methylation (GO:0043414)	253	52	31.22	+	1.67	1.20E-03	4.95E-02
